Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:40:27,95,19148,0,2425
2025-10-27 15:40:29,91,18502,21,2425
2025-10-27 15:40:31,95,18458,43,2425
2025-10-27 15:40:34,95,18779,0,2425
2025-10-27 15:40:36,99,19166,0,2425
2025-10-27 15:40:38,97,19065,0,2425
2025-10-27 15:40:40,94,18494,71,2425
2025-10-27 15:40:43,99,18657,0,2425
2025-10-27 15:40:45,92,18865,0,2425
2025-10-27 15:40:47,99,19278,0,2425
2025-10-27 15:40:49,96,18369,52,2425
2025-10-27 15:40:52,94,18508,13,2425
2025-10-27 15:40:54,91,18778,0,2425
2025-10-27 15:40:56,91,19165,0,2425
2025-10-27 15:40:58,95,18494,0,2425
2025-10-27 15:41:01,96,18563,19,2425
2025-10-27 15:41:03,95,18722,0,2425
2025-10-27 15:41:05,95,19180,0,2425
2025-10-27 15:41:08,95,19363,0,2425
2025-10-27 15:41:10,96,18653,71,2425
2025-10-27 15:41:12,98,18826,0,2425
2025-10-27 15:41:14,98,19028,0,2425
2025-10-27 15:41:17,99,19426,0,2425
2025-10-27 15:41:19,94,18792,72,2425
2025-10-27 15:41:21,99,18674,0,2425
2025-10-27 15:41:23,93,18928,0,2425
2025-10-27 15:41:26,95,19386,0,2425
2025-10-27 15:41:28,96,18535,47,2425
2025-10-27 15:41:30,97,18590,18,2425
2025-10-27 15:41:33,96,18764,0,2425
2025-10-27 15:41:35,94,19148,0,2425
2025-10-27 15:41:37,96,18904,0,2425
2025-10-27 15:41:39,98,18614,71,2425
2025-10-27 15:41:42,95,18722,0,2425
2025-10-27 15:41:44,91,19125,0,2425
2025-10-27 15:41:46,91,19354,0,2425
2025-10-27 15:41:48,91,18759,71,2425
2025-10-27 15:41:51,100,18809,0,2425
2025-10-27 15:41:53,92,18945,0,2425
2025-10-27 15:41:55,91,19261,0,2425
2025-10-27 15:41:58,94,18543,18,2425
2025-10-27 15:42:00,100,18613,53,2425
2025-10-27 15:42:02,93,18873,0,2425
2025-10-27 15:42:04,92,19242,0,2425
2025-10-27 15:42:07,95,18621,0,2425
2025-10-27 15:42:09,91,18597,73,2425
2025-10-27 15:42:11,97,18801,0,2425
2025-10-27 15:42:13,94,19210,0,2425
2025-10-27 15:42:16,93,19478,0,2425
